SRR9222366.asm1	Insufficient number of amino acids in MSA (5.0%)
SRR9219842.asm1	Insufficient number of amino acids in MSA (4.6%)
SRR9220540.asm1	Insufficient number of amino acids in MSA (7.0%)
SRR9275132.asm1	Insufficient number of amino acids in MSA (4.9%)
SRR9222033.asm1	Insufficient number of amino acids in MSA (3.6%)
SRR9222406.asm1	Insufficient number of amino acids in MSA (7.0%)
SRR9220022.asm1	Insufficient number of amino acids in MSA (5.5%)
SRR9274971.asm1	Insufficient number of amino acids in MSA (4.6%)
SRR9220375.asm1	Insufficient number of amino acids in MSA (6.2%)
SRR9222419.asm1	Insufficient number of amino acids in MSA (3.2%)
SRR9220127.asm1	Insufficient number of amino acids in MSA (3.8%)
SRR9220488.asm1	Insufficient number of amino acids in MSA (4.5%)
SRR9205841.asm1	Insufficient number of amino acids in MSA (2.9%)
SRR9220585.asm1	Insufficient number of amino acids in MSA (1.6%)
SRR9274844.asm1	Insufficient number of amino acids in MSA (1.6%)
